id,city,city_code,begetter_code,counts
4750,永丰县,360825,360800,0.0
4751,泰和县,360826,360800,0.0
4752,遂川县,360827,360800,0.0
4753,万安县,360828,360800,0.0
4754,安福县,360829,360800,0.0
4755,永新县,360830,360800,0.0
4756,井冈山市,360881,360800,0.0
4757,宜春市,360900,360000,0.0
4758,袁州区,360902,360900,0.0
4759,奉新县,360921,360900,0.0
4760,万载县,360922,360900,0.0
4761,上高县,360923,360900,0.0
4762,宜丰县,360924,360900,0.0
4763,靖安县,360925,360900,0.0
4764,铜鼓县,360926,360900,0.0
4765,丰城市,360981,360900,0.0
4766,樟树市,360982,360900,0.0
4767,高安市,360983,360900,0.0
4768,抚州市,361000,360000,0.0
4769,临川区,361002,361000,0.0
4770,南城县,361021,361000,0.0
4771,黎川县,361022,361000,0.0
4772,南丰县,361023,361000,0.0
4773,崇仁县,361024,361000,0.0
4774,乐安县,361025,361000,0.0
4775,宜黄县,361026,361000,0.0
4776,金溪县,361027,361000,0.0
4777,资溪县,361028,361000,0.0
4778,东乡县,361029,361000,0.0
4779,广昌县,361030,361000,0.0
4780,上饶市,361100,360000,0.0
4781,信州区,361102,361100,0.0
4782,上饶县,361121,361100,0.0
4783,广丰县,361122,361100,0.0
4784,玉山县,361123,361100,0.0
4785,铅山县,361124,361100,0.0
4786,横峰县,361125,361100,0.0
4787,弋阳县,361126,361100,0.0
4788,余干县,361127,361100,0.0
4789,波阳县,361128,361100,0.0
4790,万年县,361129,361100,0.0
4791,婺源县,361130,361100,0.0
4792,德兴市,361181,361100,0.0
4793,山东省,370000,000000,918.0
4794,济南市,370100,370000,51.0
4795,历下区,370102,370100,0.0
4796,市中区,370103,370100,0.0
4797,槐荫区,370104,370100,0.0
4798,天桥区,370105,370100,0.0
4799,历城区,370112,370100,0.0
4800,长清区,370113,370100,0.0
4801,平阴县,370124,370100,0.0
4802,济阳县,370125,370100,0.0
4803,商河县,370126,370100,0.0
4804,章丘市,370181,370100,0.0
4805,青岛市,370200,370000,229.0
4806,市南区,370202,370200,0.0
4807,市北区,370203,370200,0.0
4808,四方区,370205,370200,0.0
4809,黄岛区,370211,370200,0.0
4810,崂山区,370212,370200,0.0
4811,李沧区,370213,370200,0.0
4812,城阳区,370214,370200,0.0
4813,胶州市,370281,370200,0.0
4814,即墨市,370282,370200,0.0
4815,平度市,370283,370200,25.0
4816,胶南市,370284,370200,1.0
4817,莱西市,370285,370200,0.0
4818,淄博市,370300,370000,2.0
4819,淄川区,370302,370300,0.0
4820,张店区,370303,370300,0.0
4821,博山区,370304,370300,0.0
4822,临淄区,370305,370300,0.0
4823,周村区,370306,370300,0.0
4824,桓台县,370321,370300,0.0
4825,高青县,370322,370300,0.0
4826,沂源县,370323,370300,0.0
4827,枣庄市,370400,370000,107.0
4828,市中区,370402,370400,0.0
4829,薛城区,370403,370400,0.0
4830,峄城区,370404,370400,0.0
4831,台儿庄区,370405,370400,3.0
4832,山亭区,370406,370400,0.0
4833,滕州市,370481,370400,14.0
4834,东营市,370500,370000,0.0
4835,东营区,370502,370500,0.0
4836,河口区,370503,370500,0.0
4837,垦利县,370521,370500,0.0
4838,利津县,370522,370500,0.0
4839,广饶县,370523,370500,0.0
4840,烟台市,370600,370000,12.0
4841,芝罘区,370602,370600,0.0
4842,福山区,370611,370600,0.0
4843,牟平区,370612,370600,0.0
4844,莱山区,370613,370600,0.0
4845,长岛县,370634,370600,0.0
4846,龙口市,370681,370600,0.0
4847,莱阳市,370682,370600,7.0
4848,莱州市,370683,370600,0.0
4849,蓬莱市,370684,370600,0.0
4850,招远市,370685,370600,0.0
4851,栖霞市,370686,370600,0.0
4852,海阳市,370687,370600,1.0
4853,潍坊市,370700,370000,138.0
4854,潍城区,370702,370700,0.0
4855,寒亭区,370703,370700,0.0
4856,坊子区,370704,370700,0.0
4857,奎文区,370705,370700,0.0
4858,临朐县,370724,370700,0.0
4859,昌乐县,370725,370700,0.0
4860,青州市,370781,370700,0.0
4861,诸城市,370782,370700,0.0
4862,寿光市,370783,370700,6.0
4863,安丘市,370784,370700,4.0
4864,高密市,370785,370700,0.0
4865,昌邑市,370786,370700,31.0
4866,济宁市,370800,370000,28.0
4867,市中区,370802,370800,0.0
4868,任城区,370811,370800,0.0
4869,微山县,370826,370800,0.0
4870,鱼台县,370827,370800,0.0
4871,金乡县,370828,370800,0.0
4872,嘉祥县,370829,370800,0.0
4873,汶上县,370830,370800,1.0
4874,泗水县,370831,370800,8.0
4875,梁山县,370832,370800,0.0
4876,曲阜市,370881,370800,0.0
4877,兖州市,370882,370800,0.0
4878,邹城市,370883,370800,0.0
4879,泰安市,370900,370000,215.0
4880,泰山区,370902,370900,0.0
4881,岱岳区,370903,370900,6.0
4882,宁阳县,370921,370900,0.0
4883,东平县,370923,370900,6.0
4884,新泰市,370982,370900,2.0
4885,肥城市,370983,370900,46.0
4886,威海市,371000,370000,0.0
4887,环翠区,371002,371000,0.0
4888,文登市,371081,371000,0.0
4889,荣成市,371082,371000,0.0
4890,乳山市,371083,371000,0.0
4891,日照市,371100,370000,38.0
4892,东港区,371102,371100,0.0
4893,五莲县,371121,371100,0.0
4894,莒县,371122,371100,16.0
4895,莱芜市,371200,370000,4.0
4896,莱城区,371202,371200,2.0
4897,钢城区,371203,371200,0.0
4898,临沂市,371300,370000,41.0
4899,兰山区,371302,371300,0.0
4900,罗庄区,371311,371300,0.0
4901,河东区,371312,371300,0.0
4902,沂南县,371321,371300,0.0
4903,郯城县,371322,371300,0.0
4904,沂水县,371323,371300,6.0
4905,苍山县,371324,371300,1.0
4906,费县,371325,371300,0.0
4907,平邑县,371326,371300,1.0
4908,莒南县,371327,371300,0.0
4909,蒙阴县,371328,371300,0.0
4910,临沭县,371329,371300,0.0
4911,德州市,371400,370000,8.0
4912,德城区,371402,371400,0.0
4913,陵县,371421,371400,0.0
4914,宁津县,371422,371400,0.0
4915,庆云县,371423,371400,0.0
4916,临邑县,371424,371400,0.0
4917,齐河县,371425,371400,0.0
4918,平原县,371426,371400,0.0
4919,夏津县,371427,371400,1.0
4920,武城县,371428,371400,0.0
4921,乐陵市,371481,371400,0.0
4922,禹城市,371482,371400,0.0
4923,聊城市,371500,370000,6.0
4924,东昌府区,371502,371500,0.0
4925,阳谷县,371521,371500,0.0
4926,莘县,371522,371500,0.0
4927,茌平县,371523,371500,0.0
4928,东阿县,371524,371500,0.0
4929,冠县,371525,371500,0.0
4930,高唐县,371526,371500,0.0
4931,临清市,371581,371500,0.0
4932,滨州市,371600,370000,8.0
4933,滨城区,371602,371600,0.0
4934,惠民县,371621,371600,2.0
4935,阳信县,371622,371600,0.0
4936,无棣县,371623,371600,0.0
